rt_item_no, pchome search keyword, notes (won't take any impact on the searching result)
17754,DCAN07-A9006VLDKA, 用pchome貨號搜尋
20145,舒潔 100抽x8包x8, 用關鍵字搜尋. 自動取到最低價 
21411,DAAG0S-A90079V6J,
51234,EH-NA45, 用關鍵字搜尋
90412,Jaybird x2, 沒有庫存
65123,backbeat go 2 精裝, 自動取到有貨的最低價 
99871, dyson dc63,
